name,bundleId
Discord,com.hammerandchisel.discord
Mackolik,com.domainname.mackolik
AdBlock.1.2.@canpng,com.7color.AdBlock
AdBlock.1,com.7color.AdBlock
Artory.Hacked.3.1.1.@canpng,org.skydomain.animatedpost
Aylik.Distopya.2.9.@canpng,com.fatih.dystopia
Aylik.Distopya.3.1.@canpng,com.fatih.dystopia
Bowmasters.Hacked.3.0.2.@canpng,com.playgendary.bowmasters
Cowabunga.8.1.1.@canpng,com.leemin.Cowabunga
Deep.TV.Pro.1.0.68.@canpng,com.deeptv.pro
Deep.TV.Pro.1.0.69.@canpng,com.deeptv.pro
Device.Monitor.Hacked.6.3.0.@canpng,org.fastdevsproject.altervista.Device-Monitor
Dezor.1.0.0.@canpng,net.dezor.browser
Discord.Hacked.175.0.@canpng,com.hammerandchisel.discord
Earn.to.Die.2.Hacked.1.4.17.@canpng,com.notdoppler.EarntoDie2
Facebook.Hacked.409.0.@canpng,com.facebook.Facebook
Gradient.Hacked.2.7.14.@canpng,com.tickettothemoon.gradient
Hacker.Baslangic.1.988.@canpng,com.kurgustudios.hackerbaslangic
Hacker.Baslangic.1,com.kurgustudios.hackerbaslangic
Hill.Climb.Racing.Hacked.1.57.0.@canpng,com.fingersoft.hillclimbracing
ImgPlay.Hacked.6.2.6.@canpng,me.imgbase.imgplay
InShot.Hacked.1.67.0.@canpng,com.camerasideas.InstaShot
Instagram.Hacked.274.0.@canpng,com.burbn.instagram
Instagram.Hacked.278.0.@canpng,com.burbn.instagram
Minecraft.1.19.62.@canpng,com.mojang.minecraftpe
Mini.Soccer.Star.Hacked.0.59.@canpng,com.touch2goal.soccer
Mondly.Hacked.10.0.0.@canpng,com.atistudios.MondlyLanguages
Motion.Ninja.Hacked.4.8.2.@canpng,com.floatcamellia.motionninja
PDF.Expert.Hacked.7.14.1.@canpng,com.readdle.PDFExpert5
Polish.Hacked.1.5.4.@canpng,com.photoeditor.polish
ProCamera.16.2.1.@canpng,com.cocologics.ProCamera.WatchKitApp
RainViewer.Hacked.2.20.2.@canpng,com.lucky-apps.RainViewer
Reversee.Hacked.5.3.6.@canpng,com.jogos12.Reversee
Royal.Match.Hacked.13310.@canpng,com.dreamgames.royalmatch
ScourgeBringer.Hacked.1.0.1.@canpng,com.pid.scourgebringer
ScourgeBringer.Hacked.1.0,com.pid.scourgebringer
Spotify.Hacked.8.8.15.@canpng,com.spotify.client
Spotify.Hacked.8.8.22.@canpng,com.spotify.client
Tanks.a.Lot.Hacked.5.000.@canpng,com.boombitgames.TanksALot
Tanks.a.Lot.Hacked.5.100.@canpng,com.boombitgames.TanksALot
TeraBox.Hacked.3.11.0.@canpng,com.dubox.drive
TikTok.Hacked.28.4.0.@canpng,com.zhiliaoapp.musically
Tropic.Escape.Hacked.1.155.@canpng,com.zynga.FarmVilleTropicEscape
Videoshop.Hacked.84.2.2.@canpng,com.VideoShop.VideoShop
Vimage.Hacked.4.14.00.@canpng,com.vimage.ios
VN.Video.Editor.Hacked.1.63.@canpng,com.frontrow.vlog
WhatsApp.2.Hacked.23.8.78.@canpng,com.dpixel.watusi
WhatsApp.Hacked.23.5.75.@canpng,net.whatsapp.WhatsApp
Xtreme.IPTV.Hacked.3.9.4.@canpng,mca.iptvplayer
YouTube.Hacked.18.09.4.@canpng,com.google.ios.youtube
YouTube.Hacked.18.15.1.@canpng,com.google.ios.youtube
